Country;City;Year;AQI;PM2.5;PM10;Deforestation_Rate_%;Afforestation_Rate_%;Vehicles_Increase_%;Industries_Increase_%;Env_Budget_Million_USD;Population_Density_Per_SqKm;CO2_Emissions_MT;Green_Space_Ratio_%;Avg_Life_Expectancy_Index
Australia;Adelaide;2014;115.22;70.42;85.29;1.51;1.07;7.79;3.41;136.15;3125.55;119.32;38.57;77.59
Australia;Adelaide;2014;104.4;68.97;93.58;2.19;2.05;3.3;5.25;296.94;3844.8;135.92;40.12;78.63
Australia;Adelaide;2014;76.34;37.62;60.99;0.79;1.16;8.35;4.38;162.11;229.19;132.49;42.45;80.23
Australia;Adelaide;2014;77.68;43.95;70.29;0.7;1.07;7.19;6.68;144.78;2411.2;170.28;40.09;80.11
Australia;Adelaide;2014;79.88;42.37;79.67;3.07;2.4;7.01;4.76;472.96;1664.66;129.03;42.45;80.62
Australia;Adelaide;2014;60.69;41.95;60.36;0.84;1.51;4.43;2.77;468.04;3919.14;100.66;39.76;81.89
Australia;Adelaide;2014;84.85;43.57;86.76;3.88;0.58;4.68;7.34;233.17;1891.9;158.87;35.96;79.81
Australia;Adelaide;2014;64.59;35.33;46.81;2.82;0.84;5.25;2.17;267.97;3236.95;116.4;36.45;81.23
Australia;Adelaide;2014;115.49;69.09;100.59;2.66;2.35;7.65;4.23;456.63;4826.17;152.72;39.56;78.21
Australia;Adelaide;2014;40.45;26.33;35.29;1.32;1.73;3.57;4.73;342.24;1393.47;124.55;42.47;82.99
Australia;Adelaide;2014;61.83;29.59;45.94;1.38;2.47;7.92;6.11;334.3;1789.1;159.89;44.24;81.55
Australia;Adelaide;2014;69.29;42.9;63.84;2.39;2.4;6.55;6.97;180.75;4229.37;167.97;40.59;80.74
Australia;Adelaide;2014;64.2;31.24;60.38;0.63;1.83;5.86;6.36;177.08;321.91;136.52;44.54;81.07
Australia;Adelaide;2014;104.79;66.52;99.17;0.85;1.78;9.15;5.04;267.2;2838.27;175.02;41.65;78.55
Australia;Adelaide;2014;98.29;66.0;107.45;1.27;0.71;5.23;3.55;354.41;4290.03;99.92;36.57;79.16
Australia;Adelaide;2014;81.18;51.68;80.89;2.02;2.58;4.3;3.14;243.0;4271.52;91.34;41.44;80.07
Australia;Adelaide;2014;80.47;37.56;78.47;3.03;1.57;9.77;2.9;189.39;319.69;157.81;41.36;80.01
Australia;Adelaide;2014;138.28;72.35;98.81;2.28;1.41;8.72;6.4;156.77;4523.31;173.98;37.42;76.09
Australia;Adelaide;2014;68.65;46.41;61.05;3.58;0.74;7.01;2.73;284.5;815.06;134.61;37.83;80.99
Australia;Adelaide;2014;82.77;36.87;62.18;2.55;2.74;9.79;5.4;300.96;687.96;158.5;44.99;80.08
Australia;Adelaide;2014;72.21;33.72;64.76;2.18;2.61;5.99;6.19;388.0;3206.83;162.98;42.43;80.96
Australia;Adelaide;2014;56.16;34.39;48.8;0.95;0.56;9.34;4.01;499.31;4241.7;140.58;36.5;82.25
Australia;Adelaide;2014;57.33;23.23;42.69;2.09;1.53;7.11;3.88;106.27;2389.36;111.43;40.1;81.39
Australia;Adelaide;2014;40.8;18.69;35.04;1.43;0.5;8.06;4.43;453.66;315.67;136.61;39.76;83.19
Australia;Adelaide;2014;45.22;21.12;46.94;3.03;1.84;3.96;6.23;479.51;853.06;136.52;41.64;82.94
Australia;Adelaide;2014;43.77;21.45;47.0;1.79;1.11;6.92;2.67;381.13;1567.78;115.3;39.98;82.84
Australia;Adelaide;2014;86.09;39.99;74.01;2.86;0.93;9.53;3.5;395.46;4113.2;132.81;35.81;80.05
Australia;Adelaide;2014;46.89;23.19;50.97;2.09;2.0;4.69;3.56;105.06;819.53;117.66;43.1;82.08
