country,city,year,aqi,pm2.5,pm10,deforestation_rate_%,afforestation_rate_%,vehicles_increase_%,industries_increase_%,env_budget_million_usd,population_density_per_sqkm,co2_emissions_mt,green_space_ratio_%,avg_life_expectancy_index,vehicles_per_density,green_space_per_capita
Argentina,Buenos Aires,2014,144.02,95.38,124.16,3.93,2.32,11.03,5.13,68.3,7612.92,196.42,35.41,75.54,0.001448852739815997,0.0046513033106876205
Argentina,Buenos Aires,2014,161.81,73.35,123.64,3.54,1.85,4.5,7.3,143.51,10983.91,174.43,31.03,74.5,0.0004096901740819071,0.002825041355947017
Argentina,Buenos Aires,2014,133.11,55.49,128.95,1.94,0.39,11.5,8.29,246.25,3442.93,214.09,35.8,76.62,0.0033401782783849805,0.010398120205754981
Argentina,Buenos Aires,2014,153.11,82.18,122.18,3.94,2.3,12.01,8.87,241.67,1689.14,213.0,41.28,75.28,0.007110127046899605,0.024438471648294397
Argentina,Buenos Aires,2014,132.52,77.86,110.86,2.14,1.92,9.94,4.35,278.98,12838.73,182.23,30.79,76.72,0.0007742198800037075,0.0023982122842368366
Argentina,Buenos Aires,2014,89.31,46.24,92.85,1.83,2.15,12.95,6.62,228.92,2301.11,199.94,42.33,79.5,0.00562771879658078,0.01839547001229841
Argentina,Buenos Aires,2014,179.66,100.91,150.96,1.51,0.62,13.57,9.96,378.35,13401.02,251.39,26.94,73.78,0.0010126094879345006,0.0020102947387586915
Argentina,Buenos Aires,2014,165.58,99.42,118.7,2.55,1.54,12.24,9.51,84.47,3394.01,222.72,38.68,74.13,0.0036063535463949723,0.011396548625372347
Argentina,Buenos Aires,2014,59.22,28.62,46.83,3.08,0.68,4.08,7.5,359.92,2996.89,145.22,35.96,81.77,0.0013614113297451692,0.011999105739616737
Argentina,Buenos Aires,2014,219.53,144.78,230.89,2.75,0.75,12.83,5.87,147.85,14703.74,201.12,24.79,70.66,0.0008725671155773974,0.001685965611470279
Argentina,Buenos Aires,2015,129.08,84.58,93.77,2.38,1.94,5.79,3.83,161.34,14510.48,136.45,28.93,76.72,0.00039902194827462636,0.0019937314272167428
Argentina,Buenos Aires,2015,60.05,34.55,58.39,1.21,1.9,10.05,6.16,340.55,1689.25,188.15,42.81,81.68,0.005949385822110405,0.02534260766612402
Argentina,Buenos Aires,2015,173.18,87.87,140.02,2.94,0.63,11.2,7.04,240.04,10239.89,202.88,28.71,73.94,0.0010937617493937924,0.0028037410558121234
Argentina,Buenos Aires,2015,207.97,109.51,196.82,4.05,0.9,13.4,9.57,164.74,8273.46,246.16,30.37,71.47,0.0016196367662380674,0.00367077377542165
Argentina,Buenos Aires,2015,122.01,73.26,124.21,3.61,1.64,11.6,3.92,165.01,9497.4,188.4,31.82,77.2,0.001221386905890033,0.0033503906332259356
Argentina,Buenos Aires,2015,120.2,57.86,95.47,1.65,2.37,13.68,4.96,329.91,9471.27,200.93,36.0,77.65,0.001444368073130636,0.003800968613501674
Argentina,Buenos Aires,2015,153.53,93.5,161.17,1.14,0.65,12.65,3.13,124.19,11691.89,188.63,29.11,75.01,0.001081946545853579,0.0024897599960314373
Argentina,Buenos Aires,2015,168.93,84.54,130.35,4.05,2.95,12.0,7.23,122.16,8278.13,223.72,36.53,73.98,0.0014496027484468112,0.004412832366730168
Argentina,Buenos Aires,2015,108.11,59.59,112.05,0.83,1.48,6.84,5.39,295.72,10827.54,152.19,32.79,78.38,0.0006317224411085065,0.0030283887198754283
Argentina,Buenos Aires,2015,164.28,93.84,164.28,4.47,2.98,9.81,6.36,236.04,9238.82,188.73,35.24,74.52,0.0010618239125775803,0.003814339926527414
Argentina,Buenos Aires,2016,167.52,76.15,118.12,3.72,0.42,7.99,9.63,247.82,13772.09,229.17,23.76,74.33,0.0005801588575154534,0.0017252283422487075
Argentina,Buenos Aires,2016,168.53,80.83,123.1,3.23,0.37,7.8,4.17,352.78,12690.73,148.9,25.19,74.47,0.0006146218539043853,0.0019849133974168547
Argentina,Buenos Aires,2016,215.65,109.68,168.94,4.14,0.51,13.47,6.53,174.04,12704.57,247.18,24.68,70.97,0.0010602483988045247,0.001942608053637392
Argentina,Buenos Aires,2016,222.75,109.07,163.49,4.31,0.33,7.6,9.83,98.04,13759.07,225.36,22.92,70.35,0.0005523629140632325,0.0016658102618854328
Argentina,Buenos Aires,2016,146.42,95.57,157.48,3.39,0.65,13.75,5.16,205.94,1981.36,206.77,36.59,75.65,0.00693967779706868,0.018467113497799493
Argentina,Buenos Aires,2016,116.01,80.2,126.53,3.18,1.87,7.94,6.36,168.49,4010.11,163.03,38.41,77.6,0.0019799955612190188,0.009578290869826513
Argentina,Buenos Aires,2016,150.75,98.01,152.74,1.07,0.93,12.96,4.33,318.29,13786.48,216.27,27.92,75.59,0.0009400514126883731,0.0020251724878286555
Argentina,Buenos Aires,2016,121.43,62.94,133.45,2.53,2.21,11.14,8.96,119.5,4419.36,199.79,39.68,77.14,0.002520726983092575,0.008978675645342313
Argentina,Buenos Aires,2016,138.77,69.33,101.04,2.69,2.18,11.13,9.21,197.39,2933.3,225.73,40.93,76.14,0.003794361299560222,0.013953567654177887
Argentina,Buenos Aires,2016,62.51,34.27,48.19,1.94,0.37,11.09,4.08,358.61,1212.75,169.46,37.95,81.55,0.00914450628736343,0.031292517006802724
Argentina,Buenos Aires,2016,204.28,118.28,189.77,3.87,0.93,9.46,8.56,89.65,10011.44,206.46,28.91,71.56,0.000944919012649529,0.002887696475232334
Argentina,Buenos Aires,2016,94.69,64.68,76.73,3.39,2.42,8.9,9.13,292.97,4560.7,206.12,39.32,79.27,0.001951454820531936,0.008621483544192779
Argentina,Buenos Aires,2016,89.16,44.44,89.92,4.05,2.69,9.13,5.33,334.79,4824.12,162.85,39.2,79.73,0.001892573153238311,0.008125834349062628
Argentina,Buenos Aires,2016,116.55,57.2,113.8,1.43,2.99,10.08,7.54,272.53,8468.06,207.58,39.08,77.78,0.0011903552879880398,0.004614988557001249
Argentina,Buenos Aires,2017,153.32,85.14,138.57,3.62,2.16,10.08,7.2,348.28,8658.23,209.84,34.22,75.48,0.001164210236965292,0.003952308959221457
Argentina,Buenos Aires,2017,209.13,116.33,228.17,3.46,1.19,13.46,7.19,154.56,13912.41,243.28,26.19,71.37,0.0009674815506443529,0.0018824919622121546
Argentina,Buenos Aires,2017,171.96,96.81,178.69,4.04,0.95,8.25,5.03,95.76,9914.42,148.01,28.91,73.73,0.0008321212940343459,0.0029159547406706595
Argentina,Buenos Aires,2017,141.64,61.15,150.49,2.77,2.11,7.26,5.94,117.01,7181.2,158.19,36.38,75.79,0.0010109730964184258,0.005066005681501699
Argentina,Buenos Aires,2017,171.47,82.26,185.72,4.11,1.98,12.15,4.53,98.9,6004.36,194.65,35.84,73.77,0.002023529568513547,0.005968995863006216
Argentina,Buenos Aires,2017,167.41,77.84,134.64,2.13,2.69,11.6,4.01,305.57,12540.23,175.51,33.39,74.45,0.0009250229062784335,0.0026626305897100772
Argentina,Buenos Aires,2017,125.27,61.38,102.21,1.05,0.52,5.21,3.84,366.07,9603.27,145.1,30.91,77.38,0.0005425235362537968,0.0032186952985805875
Argentina,Buenos Aires,2017,179.23,76.93,136.35,2.93,2.54,13.96,9.07,399.95,9175.86,236.86,35.51,73.85,0.0015213832817850316,0.003869936986832841
Argentina,Buenos Aires,2017,95.88,42.19,79.68,2.32,2.15,10.68,5.36,222.75,6879.03,173.3,37.25,79.05,0.001552544472113074,0.005415007639158428
Argentina,Buenos Aires,2017,68.08,27.74,72.54,0.81,1.4,4.4,3.76,181.2,10826.69,119.7,32.56,80.82,0.00040640306501802493,0.0030073826811333844
Argentina,Buenos Aires,2017,128.29,69.54,114.65,4.48,2.19,6.9,5.89,239.94,13200.25,189.74,28.9,76.93,0.0005227173727770307,0.002189352474384955
Argentina,Buenos Aires,2017,105.82,67.84,92.27,1.22,1.6,10.44,5.57,244.6,7272.95,181.09,36.3,78.43,0.0014354560391588007,0.004991097147649853
Argentina,Buenos Aires,2017,163.76,90.63,122.96,3.97,0.99,6.58,3.45,391.4,14838.98,134.62,24.15,74.87,0.00044342670453090445,0.0016274703517357662
Argentina,Buenos Aires,2017,129.9,59.54,125.26,2.01,2.93,13.31,7.69,203.3,11945.12,227.36,34.85,76.75,0.001114262560777958,0.002917509409700363
Argentina,Buenos Aires,2017,153.32,70.21,138.26,3.1,2.61,13.82,4.85,318.77,5981.1,195.45,38.74,75.42,0.0023106117603785255,0.006477069435388139
Argentina,Buenos Aires,2017,164.18,102.6,139.03,4.06,1.06,11.6,6.37,397.31,11324.64,195.37,27.79,74.85,0.0010243151217168935,0.0024539411407338337
Argentina,Buenos Aires,2017,85.01,38.41,76.36,1.17,1.99,7.41,5.45,172.78,8884.36,143.46,35.92,79.68,0.0008340499484487346,0.00404305993903894
